entity:ID,name,:LABEL
e0,效应T细胞,my_entity
e1,未知实体,my_entity
e2,2岁以内儿童,my_entity
e3,无氧呼吸作用,my_entity
e4,异物感，畏光，流泪，黏液或黏液脓性分泌物,my_entity
e5,蚌科,my_entity
e6,益肝灵,my_entity
e7,扁虱,my_entity
e8,spore　print,my_entity
e9,抗氧化防衰老,my_entity
e10,线粒体外膜内侧,my_entity
e11,产谷氨酸、赖氨酸、抗噬菌体,my_entity
e12,肠球菌属（Enterococcus)）,my_entity
e13,Subtilisin,my_entity
e14,159.61,my_entity
e15,天然提取、化学合成等,my_entity
e16,自养菌,my_entity
e17,如用于制酱、酿酒、生物抗生素等,my_entity
e18,1902年,my_entity
e19,初次感染常伴全身症状，皮损需2～3周愈合,my_entity
e20,多见于沿海、江河、水网地区,my_entity
e21,皮肤、黏膜和指（趾）甲,my_entity
e22,Virology,my_entity
e23,单股正链小RNA病毒,my_entity
e24,甲醇和纳米技术的燃料电池,my_entity
e25,革兰氏阳性,my_entity
e26,monilial,my_entity
e27,无性繁殖,my_entity
e28,内共生起源学说,my_entity
e29,机体特异性免疫的一部分,my_entity
e30,酚类、吲哚类、双苯类等,my_entity
e31,主,my_entity
e32,750千字,my_entity
e33,脸颊或颈淋巴结肿大，或轻微发热、皮疹等,my_entity
e34,一般为3-7天,my_entity
e35,湖北省人民政府,my_entity
e36,高温环境,my_entity
e37,DC-CIK细胞靶向治疗法,my_entity
e38,疱疹病毒,my_entity
e39,梅毒,my_entity
e40,多样,my_entity
e41,本科,my_entity
e42,表飞鸣;表飞明,my_entity
e43,大于10000,my_entity
e44,盐酸表柔吡星,my_entity
e45,50岁以上男性,my_entity
e46,Virus_Buster_Serge,my_entity
e47,Albumin,my_entity
e48,贮存于阴凉干燥处,my_entity
e49,麻疹疫苗,my_entity
e50,leafhopper,my_entity
e51,三氯代乙烯,my_entity
e52,无色针状或片状结晶,my_entity
e53,主要以无性孢子的方式,my_entity
e54,多氯联苯,my_entity
e55,cornealtransplantation,my_entity
e56,由腮腺炎病毒感染所引起,my_entity
e57,1.0～1.5×0.3～0.4um,my_entity
e58,流行性感冒病毒(Influenza,my_entity
e59,盆腔结缔组织炎,my_entity
e60,疱疹病毒科,my_entity
e61,扁桃体,my_entity
e62,非处方药,my_entity
e63,子囊菌亚门真菌,my_entity
e64,19世纪60年代,my_entity
e65,致腹泻性大肠杆菌,my_entity
e66,泌尿生殖系统,my_entity
e67,正蚓亚目,my_entity
e68,飞沫吸入，直接接触,my_entity
e69,曲霉目,my_entity
e70,是一些抗生素,my_entity
e71,病毒粒子,my_entity
e72,尿色,my_entity
e73,Cyanobacteria,my_entity
e74,肾功能,my_entity
e75,由疱疹病毒引起,my_entity
e76,口腔科，皮肤科,my_entity
e77,pathogenicity,my_entity
e78,分泌黏液、参与免疫反应,my_entity
e79,生殖器,my_entity
